Body,Head,Head_Coverage,Std_Confidence,PCA_Confidence,Positive_Examples,Body_size,PCA_Body_size,Functional_variable
?a  patientDrug  Carboplatin   ,?a  hasBiomarker  PDL1_Negative,0.041614907,0.106012658,0.243636364,67,632,275,?a
?a  hasRelapse_Progression  Progression   ,?a  hasBiomarker  PDL1_Negative,0.041614907,0.098674521,0.174479167,67,679,384,?a
?a  hasBiomarker  ALK_Negative   ,?a  hasBiomarker  PDL1_Positive,0.062732919,0.271505376,0.271505376,101,372,372,?a
?a  hasGender  Female   ,?a  hasBiomarker  PDL1_Positive,0.034782609,0.150537634,0.282828283,56,372,198,?a
?a  hasBiomarker  ROS1_Negative   ,?a  hasBiomarker  PDL1_Positive,0.063975155,0.391634981,0.391634981,103,263,263,?a
?a  hasStage  IVA   ,?a  hasBiomarker  PDL1_Positive,0.019875776,0.380952381,0.484848485,32,84,66,?a
?a  hasStage  IVB   ,?a  hasBiomarker  PDL1_Positive,0.032298137,0.433333333,0.565217391,52,120,92,?a
?a  hasAgeCategory  Young   ,?a  hasBiomarker  PDL1_Positive,0.026086957,0.122093023,0.234636872,42,344,179,?a
?a  hasBiomarker  EGFR_Negative   ,?a  hasBiomarker  PDL1_Positive,0.065217391,0.247641509,0.247641509,105,424,424,?a
?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasBiomarker  PDL1_Positive,0.017391304,0.207407407,0.264150943,28,135,106,?a
?a  hasAgeCategory  Old   ,?a  hasBiomarker  PDL1_Positive,0.060869565,0.109253066,0.253229974,98,897,387,?a
?a  hasGender  Male   ,?a  hasBiomarker  PDL1_Positive,0.052173913,0.096551724,0.22826087,84,870,368,?a
?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasBiomarker  PDL1_Positive,0.020496894,0.083969466,0.203703704,33,393,162,?a
?a  treatmentType  Intravenous_Chemotherapy   ,?a  hasBiomarker  PDL1_Positive,0.037888199,0.123481781,0.214788732,61,494,284,?a
?a  patientDrug  Docetaxel   ,?a  hasBiomarker  PDL1_Positive,0.011180124,0.18,0.214285714,18,100,84,?a
?a  patientDrug  Nivolumab   ,?a  hasBiomarker  PDL1_Positive,0.016770186,0.217741935,0.306818182,27,124,88,?a
?a  treatmentType  Thoracoscopy   ,?a  hasBiomarker  PDL1_Positive,0.013664596,0.061971831,0.20952381,22,355,105,?a
?a  patientDrug  Pembrolizumab   ,?a  hasBiomarker  PDL1_Positive,0.024223602,0.582089552,0.75,39,67,52,?a
?a  patientDrug  Cisplatin   ,?a  hasBiomarker  PDL1_Positive,0.011180124,0.063829787,0.106508876,18,282,169,?a
?a  patientDrug  Vinorelbine   ,?a  hasBiomarker  PDL1_Positive,0.02173913,0.104477612,0.198863636,35,335,176,?a
?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  hasBiomarker  PDL1_Positive,0.016770186,0.106299213,0.247706422,27,254,109,?a
?a  treatmentType  Molecular_Targeted_Therapy   ,?a  hasBiomarker  PDL1_Positive,0.011801242,0.138686131,0.146153846,19,137,130,?a
?a  patientDrug  Pemetrexed   ,?a  hasBiomarker  PDL1_Positive,0.026086957,0.166007905,0.196261682,42,253,214,?a
?a  treatmentType  Immunotherapy   ,?a  hasBiomarker  PDL1_Positive,0.040372671,0.345744681,0.457746479,65,188,142,?a
?a  patientDrug  Carboplatin   ,?a  hasBiomarker  PDL1_Positive,0.042857143,0.109177215,0.250909091,69,632,275,?a
?a  hasRelapse_Progression  Progression   ,?a  hasBiomarker  PDL1_Positive,0.052173913,0.12371134,0.21875,84,679,384,?a
?a  patientDrug  Paclitaxel   ,?a  hasBiomarker  PDL1_Positive,0.018012422,0.099315068,0.183544304,29,292,158,?a
?a  hasBiomarker  PDL1_Negative   ,?a  hasBiomarker  BRAF_Negative,0.01242236,0.198019802,0.198019802,20,101,101,?a
?a  hasGender  Female   ,?a  hasBiomarker  BRAF_Negative,0.017391304,0.075268817,0.141414141,28,372,198,?a
?a  hasSmokingHabit  CurrentSmoker   ,?a  hasBiomarker  BRAF_Negative,0.034161491,0.111336032,0.295698925,55,494,186,?a
?a  hasStage  IVA   ,?a  hasBiomarker  BRAF_Negative,0.011801242,0.226190476,0.287878788,19,84,66,?a
?a  hasBiomarker  ROS1_Negative   ,?a  hasBiomarker  BRAF_Negative,0.070186335,0.429657795,0.429657795,113,263,263,?a
?a  hasBiomarker  PDL1_Positive   ,?a  hasBiomarker  BRAF_Negative,0.02484472,0.285714286,0.285714286,40,140,140,?a
?a  hasStage  IVB   ,?a  hasBiomarker  BRAF_Negative,0.016149068,0.216666667,0.282608696,26,120,92,?a
?a  hasBiomarker  ALK_Negative   ,?a  hasBiomarker  BRAF_Negative,0.068944099,0.298387097,0.298387097,111,372,372,?a
?a  hasAgeCategory  Young   ,?a  hasBiomarker  BRAF_Negative,0.020496894,0.095930233,0.184357542,33,344,179,?a
?a  hasGender  Male   ,?a  hasBiomarker  BRAF_Negative,0.057142857,0.105747126,0.25,92,870,368,?a
?a  hasStage  IIIA   ,?a  hasBiomarker  BRAF_Negative,0.021118012,0.140495868,0.306306306,34,242,111,?a
?a  treatmentType  Thoracoscopy   ,?a  hasBiomarker  BRAF_Negative,0.013043478,0.05915493,0.2,21,355,105,?a
?a  treatmentType  Molecular_Targeted_Therapy   ,?a  hasBiomarker  BRAF_Negative,0.011801242,0.138686131,0.146153846,19,137,130,?a
?a  hasBiomarker  RET_Negative   ,?a  hasBiomarker  BRAF_Negative,0.029813665,0.923076923,0.923076923,48,52,52,?a
?a  treatmentType  Open_Surgical_Procedure   ,?a  hasBiomarker  BRAF_Negative,0.023602484,0.166666667,0.38,38,228,100,?a
?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasBiomarker  BRAF_Negative,0.022360248,0.091603053,0.222222222,36,393,162,?a
?a  hasSmokingHabit  FormerSmoker   ,?a  hasBiomarker  BRAF_Negative,0.034782609,0.091503268,0.202166065,56,612,277,?a
?a  hasAgeCategory  Old   ,?a  hasBiomarker  BRAF_Negative,0.054037267,0.096989967,0.224806202,87,897,387,?a
?a  treatmentType  Neoadjuvant_Chemotherapy   ,?a  hasBiomarker  BRAF_Negative,0.011801242,0.126666667,0.279411765,19,150,68,?a
?a  patientDrug  Pembrolizumab   ,?a  hasBiomarker  BRAF_Negative,0.011180124,0.268656716,0.346153846,18,67,52,?a
?a  treatmentType  Intravenous_Chemotherapy   ,?a  hasBiomarker  BRAF_Negative,0.026086957,0.085020243,0.147887324,42,494,284,?a
?a  treatmentType  Immunotherapy   ,?a  hasBiomarker  BRAF_Negative,0.01552795,0.132978723,0.176056338,25,188,142,?a
?a  patientDrug  Cisplatin   ,?a  hasBiomarker  BRAF_Negative,0.02173913,0.124113475,0.207100592,35,282,169,?a
?a  patientDrug  Pemetrexed   ,?a  hasBiomarker  BRAF_Negative,0.018012422,0.114624506,0.135514019,29,253,214,?a
?a  hasBiomarker  EGFR_Negative   ,?a  hasBiomarker  BRAF_Negative,0.069565217,0.264150943,0.264150943,112,424,424,?a
?a  patientDrug  Vinorelbine   ,?a  hasBiomarker  BRAF_Negative,0.029813665,0.143283582,0.272727273,48,335,176,?a
?a  patientDrug  Paclitaxel   ,?a  hasBiomarker  BRAF_Negative,0.019875776,0.109589041,0.202531646,32,292,158,?a
?a  patientDrug  Carboplatin   ,?a  hasBiomarker  BRAF_Negative,0.032298137,0.082278481,0.189090909,52,632,275,?a
?a  hasRelapse_Progression  Progression   ,?a  hasBiomarker  BRAF_Negative,0.037888199,0.089837997,0.158854167,61,679,384,?a
?a  treatmentType  Chemotherapy_Adjuvant   ,?a  hasBiomarker  BRAF_Negative,0.016149068,0.157575758,0.337662338,26,165,77,?a
?a  hasStage  IA   ,?a  hasSmokingHabit  NonSmoker,0.011290323,0.133333333,0.133333333,14,105,105,?a
?a  hasStage  IVB   ,?a  hasSmokingHabit  NonSmoker,0.016129032,0.166666667,0.166666667,20,120,120,?a
?a  hasStage  IV   ,?a  hasSmokingHabit  NonSmoker,0.030645161,0.132404181,0.133333333,38,287,285,?a
?a  hasGender  Female   ,?a  hasSmokingHabit  NonSmoker,0.074193548,0.247311828,0.247311828,92,372,372,?a
?a  hasAgeCategory  Young   ,?a  hasSmokingHabit  NonSmoker,0.032258065,0.11627907,0.11627907,40,344,344,?a
?a  treatmentType  Surgery   ,?a  hasSmokingHabit  NonSmoker,0.012096774,0.164835165,0.164835165,15,91,91,?a
?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasSmokingHabit  NonSmoker,0.013709677,0.125925926,0.125925926,17,135,135,?a
?a  treatmentType  Thoracoscopy   ,?a  hasSmokingHabit  NonSmoker,0.034677419,0.121126761,0.121126761,43,355,355,?a
?a  hasAgeCategory  Old   ,?a  hasSmokingHabit  NonSmoker,0.075806452,0.104793757,0.105027933,94,897,895,?a
?a  treatmentType  Chemotherapy_Adjuvant   ,?a  hasSmokingHabit  NonSmoker,0.014516129,0.109090909,0.109090909,18,165,165,?a
?a  hasBiomarker  ALK_Positive   ,?a  hasSmokingHabit  NonSmoker,0.012903226,0.484848485,0.484848485,16,33,33,?a
?a  treatmentType  Molecular_Targeted_Therapy   ,?a  hasSmokingHabit  NonSmoker,0.053225806,0.481751825,0.481751825,66,137,137,?a
?a  hasBiomarker  ALK_Negative   ,?a  hasSmokingHabit  NonSmoker,0.033870968,0.112903226,0.112903226,42,372,372,?a
?a  hasBiomarker  PDL1_Positive   ,?a  hasSmokingHabit  NonSmoker,0.012903226,0.114285714,0.114285714,16,140,140,?a
?a  hasBiomarker  EGFR_Negative   ,?a  hasSmokingHabit  NonSmoker,0.039516129,0.115566038,0.115566038,49,424,424,?a
?a  hasRelapse_Progression  Progression   ,?a  hasSmokingHabit  NonSmoker,0.064516129,0.117820324,0.11816839,80,679,677,?a
?a  patientDrug  Erlotinib   ,?a  hasSmokingHabit  NonSmoker,0.02016129,0.431034483,0.431034483,25,58,58,?a
?a  hasBiomarker  EGFR_Positive   ,?a  hasSmokingHabit  NonSmoker,0.041129032,0.614457831,0.614457831,51,83,83,?a
?a  patientDrug  Gefitinib   ,?a  hasSmokingHabit  NonSmoker,0.012903226,0.457142857,0.457142857,16,35,35,?a
?a  hasBiomarker  ROS1_Negative   ,?a  hasSmokingHabit  NonSmoker,0.025806452,0.121673004,0.121673004,32,263,263,?a
?a  patientDrug  Osimertinib   ,?a  hasSmokingHabit  NonSmoker,0.021774194,0.6,0.6,27,45,45,?a
?a  patientDrug  Afatinib   ,?a  hasSmokingHabit  NonSmoker,0.018548387,0.522727273,0.522727273,23,44,44,?a
?a  patientDrug  Pemetrexed   ,?a  hasSmokingHabit  NonSmoker,0.029032258,0.14229249,0.14229249,36,253,253,?a
?a  hasSmokingHabit  NonSmoker   ,?a  hasBiomarker  ROS1_Negative,0.019875776,0.23880597,0.310679612,32,134,103,?a
?a  hasSmokingHabit  FormerSmoker   ,?a  hasBiomarker  ROS1_Negative,0.08136646,0.214052288,0.472924188,131,612,277,?a
?a  hasBiomarker  PDL1_Negative   ,?a  hasBiomarker  ROS1_Negative,0.039130435,0.623762376,0.623762376,63,101,101,?a
?a  hasBiomarker  EGFR_Positive   ,?a  hasBiomarker  ROS1_Negative,0.013664596,0.265060241,0.265060241,22,83,83,?a
?a  hasBiomarker  RET_Negative   ,?a  hasBiomarker  ROS1_Negative,0.031677019,0.980769231,0.980769231,51,52,52,?a
?a  hasBiomarker  PDL1_Positive   ,?a  hasBiomarker  ROS1_Negative,0.063975155,0.735714286,0.735714286,103,140,140,?a
?a  hasStage  IVA   ,?a  hasBiomarker  ROS1_Negative,0.026708075,0.511904762,0.651515152,43,84,66,?a
?a  hasStage  IIIB   ,?a  hasBiomarker  ROS1_Negative,0.01552795,0.177304965,0.446428571,25,141,56,?a
?a  hasBiomarker  ALK_Negative   ,?a  hasBiomarker  ROS1_Negative,0.153416149,0.663978495,0.663978495,247,372,372,?a
?a  hasBiomarker  EGFR_Negative   ,?a  hasBiomarker  ROS1_Negative,0.147204969,0.558962264,0.558962264,237,424,424,?a
?a  hasGender  Female   ,?a  hasBiomarker  ROS1_Negative,0.051552795,0.22311828,0.419191919,83,372,198,?a
?a  hasStage  IVB   ,?a  hasBiomarker  ROS1_Negative,0.041614907,0.558333333,0.72826087,67,120,92,?a
?a  hasStage  IIIA   ,?a  hasBiomarker  ROS1_Negative,0.036024845,0.239669421,0.522522523,58,242,111,?a
?a  hasSmokingHabit  CurrentSmoker   ,?a  hasBiomarker  ROS1_Negative,0.062111801,0.20242915,0.537634409,100,494,186,?a
?a  treatmentType  Open_Surgical_Procedure   ,?a  hasBiomarker  ROS1_Negative,0.034782609,0.245614035,0.56,56,228,100,?a
?a  hasAgeCategory  Young   ,?a  hasBiomarker  ROS1_Negative,0.054658385,0.255813953,0.491620112,88,344,179,?a
?a  hasStage  IV   ,?a  hasBiomarker  ROS1_Negative,0.023602484,0.132404181,0.22754491,38,287,167,?a
?a  hasBiomarker  BRAF_Negative   ,?a  hasBiomarker  ROS1_Negative,0.070186335,0.941666667,0.941666667,113,120,120,?a
?a  treatmentType  Thoracoscopy   ,?a  hasBiomarker  ROS1_Negative,0.027950311,0.126760563,0.428571429,45,355,105,?a
?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  hasBiomarker  ROS1_Negative,0.030434783,0.192913386,0.449541284,49,254,109,?a
?a  treatmentType  Chemotherapy_Adjuvant   ,?a  hasBiomarker  ROS1_Negative,0.022981366,0.224242424,0.480519481,37,165,77,?a
?a  treatmentType  Molecular_Targeted_Therapy   ,?a  hasBiomarker  ROS1_Negative,0.026708075,0.313868613,0.330769231,43,137,130,?a
?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasBiomarker  ROS1_Negative,0.026708075,0.318518519,0.405660377,43,135,106,?a
?a  hasAgeCategory  Old   ,?a  hasBiomarker  ROS1_Negative,0.108695652,0.19509476,0.452196382,175,897,387,?a
?a  treatmentType  Neoadjuvant_Chemotherapy   ,?a  hasBiomarker  ROS1_Negative,0.019254658,0.206666667,0.455882353,31,150,68,?a
?a  patientDrug  Nivolumab   ,?a  hasBiomarker  ROS1_Negative,0.024223602,0.314516129,0.443181818,39,124,88,?a
?a  patientDrug  Docetaxel   ,?a  hasBiomarker  ROS1_Negative,0.026708075,0.43,0.511904762,43,100,84,?a
?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasBiomarker  ROS1_Negative,0.042236025,0.17302799,0.419753086,68,393,162,?a
?a  treatmentType  Concurrent_Chemoradiotherapy   ,?a  hasBiomarker  ROS1_Negative,0.01863354,0.218978102,0.428571429,30,137,70,?a
?a  patientDrug  Pembrolizumab   ,?a  hasBiomarker  ROS1_Negative,0.025465839,0.611940299,0.788461538,41,67,52,?a
?a  hasRelapse_Progression  No_Progression   ,?a  hasBiomarker  ROS1_Negative,0.017391304,0.113821138,0.538461538,28,246,52,?a
?a  hasGender  Male   ,?a  hasBiomarker  ROS1_Negative,0.111801242,0.206896552,0.489130435,180,870,368,?a
?a  patientDrug  Paclitaxel   ,?a  hasBiomarker  ROS1_Negative,0.040372671,0.22260274,0.411392405,65,292,158,?a
?a  patientDrug  Pemetrexed   ,?a  hasBiomarker  ROS1_Negative,0.060869565,0.387351779,0.457943925,98,253,214,?a
?a  patientDrug  Vinorelbine   ,?a  hasBiomarker  ROS1_Negative,0.052173913,0.250746269,0.477272727,84,335,176,?a
?a  treatmentType  Immunotherapy   ,?a  hasBiomarker  ROS1_Negative,0.047826087,0.409574468,0.542253521,77,188,142,?a
?a  patientDrug  Cisplatin   ,?a  hasBiomarker  ROS1_Negative,0.046583851,0.265957447,0.443786982,75,282,169,?a
?a  treatmentType  Intravenous_Chemotherapy   ,?a  hasBiomarker  ROS1_Negative,0.075776398,0.246963563,0.429577465,122,494,284,?a
?a  hasRelapse_Progression  Progression   ,?a  hasBiomarker  ROS1_Negative,0.1,0.237113402,0.419270833,161,679,384,?a
?a  patientDrug  Carboplatin   ,?a  hasBiomarker  ROS1_Negative,0.07826087,0.199367089,0.458181818,126,632,275,?a
?a  hasSmokingHabit  FormerSmoker   ,?a  treatmentType  Radiotherapy_To_Bone,0.021298523,0.10130719,0.105084746,62,612,590,?a
?a  hasSmokingHabit  CurrentSmoker   ,?a  treatmentType  Radiotherapy_To_Bone,0.019237375,0.113360324,0.117154812,56,494,478,?a
?a  hasGender  Female   ,?a  treatmentType  Radiotherapy_To_Bone,0.01580213,0.123655914,0.128851541,46,372,357,?a
?a  hasGender  Male   ,?a  treatmentType  Radiotherapy_To_Bone,0.030573686,0.102298851,0.105450237,89,870,844,?a
?a  treatmentType  Immunotherapy   ,?a  treatmentType  Radiotherapy_To_Bone,0.014428032,0.223404255,0.223404255,42,188,188,?a
?a  treatmentType  Intravenous_Chemotherapy   ,?a  treatmentType  Radiotherapy_To_Bone,0.031260735,0.184210526,0.184210526,91,494,494,?a
?a  hasStage  IVB   ,?a  treatmentType  Radiotherapy_To_Bone,0.011679835,0.283333333,0.300884956,34,120,113,?a
?a  hasStage  IV   ,?a  treatmentType  Radiotherapy_To_Bone,0.016145654,0.163763066,0.173431734,47,287,271,?a
?a  hasAgeCategory  Young   ,?a  treatmentType  Radiotherapy_To_Bone,0.018893851,0.159883721,0.161290323,55,344,341,?a
?a  patientDrug  Cisplatin   ,?a  treatmentType  Radiotherapy_To_Bone,0.013397458,0.138297872,0.138790036,39,282,281,?a
?a  patientDrug  Vinorelbine   ,?a  treatmentType  Radiotherapy_To_Bone,0.01202336,0.104477612,0.104790419,35,335,334,?a
?a  patientDrug  Pemetrexed   ,?a  treatmentType  Radiotherapy_To_Bone,0.020954998,0.241106719,0.24497992,61,253,249,?a
?a  patientDrug  Paclitaxel   ,?a  treatmentType  Radiotherapy_To_Bone,0.01202336,0.119863014,0.119863014,35,292,292,?a
?a  hasBiomarker  ALK_Negative   ,?a  treatmentType  Radiotherapy_To_Bone,0.021298523,0.166666667,0.175637394,62,372,353,?a
?a  hasBiomarker  EGFR_Negative   ,?a  treatmentType  Radiotherapy_To_Bone,0.026107867,0.179245283,0.187654321,76,424,405,?a
?a  hasRelapse_Progression  Progression   ,?a  treatmentType  Radiotherapy_To_Bone,0.041222947,0.176730486,0.179640719,120,679,668,?a
?a  hasBiomarker  ROS1_Negative   ,?a  treatmentType  Radiotherapy_To_Bone,0.014771556,0.163498099,0.174796748,43,263,246,?a
?a  patientDrug  Carboplatin   ,?a  treatmentType  Radiotherapy_To_Bone,0.026794916,0.123417722,0.125401929,78,632,622,?a
?a  hasStage  IIA   ,?a  hasSmokingHabit  CurrentSmoker,0.016129032,0.392156863,0.392156863,20,51,51,?a
?a  hasStage  IA   ,?a  hasSmokingHabit  CurrentSmoker,0.030645161,0.361904762,0.361904762,38,105,105,?a
?a  hasStage  IVA   ,?a  hasSmokingHabit  CurrentSmoker,0.026612903,0.392857143,0.392857143,33,84,84,?a
?a  hasGender  Female   ,?a  hasSmokingHabit  CurrentSmoker,0.113709677,0.379032258,0.379032258,141,372,372,?a
?a  hasStage  IIIB   ,?a  hasSmokingHabit  CurrentSmoker,0.048387097,0.425531915,0.425531915,60,141,141,?a
?a  hasStage  IVB   ,?a  hasSmokingHabit  CurrentSmoker,0.039516129,0.408333333,0.408333333,49,120,120,?a
?a  hasStage  IIB   ,?a  hasSmokingHabit  CurrentSmoker,0.016129032,0.294117647,0.294117647,20,68,68,?a
?a  hasStage  IB   ,?a  hasSmokingHabit  CurrentSmoker,0.031451613,0.410526316,0.410526316,39,95,95,?a
?a  hasStage  IIIA   ,?a  hasSmokingHabit  CurrentSmoker,0.081451613,0.417355372,0.417355372,101,242,242,?a
?a  treatmentType  Open_Surgical_Procedure   ,?a  hasSmokingHabit  CurrentSmoker,0.077419355,0.421052632,0.421052632,96,228,228,?a
?a  hasAgeCategory  Young   ,?a  hasSmokingHabit  CurrentSmoker,0.135483871,0.488372093,0.488372093,168,344,344,?a
?a  hasStage  IV   ,?a  hasSmokingHabit  CurrentSmoker,0.089516129,0.386759582,0.389473684,111,287,285,?a
?a  hasGender  Male   ,?a  hasSmokingHabit  CurrentSmoker,0.284677419,0.405747126,0.406682028,353,870,868,?a
?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasSmokingHabit  CurrentSmoker,0.04516129,0.414814815,0.414814815,56,135,135,?a
?a  treatmentType  Chemotherapy   ,?a  hasSmokingHabit  CurrentSmoker,0.031451613,0.557142857,0.565217391,39,70,69,?a
?a  treatmentType  Surgery   ,?a  hasSmokingHabit  CurrentSmoker,0.023387097,0.318681319,0.318681319,29,91,91,?a
?a  treatmentType  Molecular_Targeted_Therapy   ,?a  hasSmokingHabit  CurrentSmoker,0.018548387,0.167883212,0.167883212,23,137,137,?a
?a  treatmentType  Sequential_Chemoradiation   ,?a  hasSmokingHabit  CurrentSmoker,0.021774194,0.457627119,0.457627119,27,59,59,?a
?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  hasSmokingHabit  CurrentSmoker,0.095967742,0.468503937,0.472222222,119,254,252,?a
?a  treatmentType  Thoracoscopy   ,?a  hasSmokingHabit  CurrentSmoker,0.096774194,0.338028169,0.338028169,120,355,355,?a
?a  treatmentType  Neoadjuvant_Chemotherapy   ,?a  hasSmokingHabit  CurrentSmoker,0.054032258,0.446666667,0.446666667,67,150,150,?a
?a  treatmentType  Chemotherapy_Adjuvant   ,?a  hasSmokingHabit  CurrentSmoker,0.045967742,0.345454545,0.345454545,57,165,165,?a
?a  hasAgeCategory  Old   ,?a  hasSmokingHabit  CurrentSmoker,0.262096774,0.362318841,0.363128492,325,897,895,?a
?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasSmokingHabit  CurrentSmoker,0.133064516,0.419847328,0.419847328,165,393,393,?a
?a  patientDrug  Cyclophosphamide   ,?a  hasSmokingHabit  CurrentSmoker,0.025806452,0.533333333,0.542372881,32,60,59,?a
?a  patientDrug  Nivolumab   ,?a  hasSmokingHabit  CurrentSmoker,0.042741935,0.427419355,0.427419355,53,124,124,?a
?a  patientDrug  Other   ,?a  hasSmokingHabit  CurrentSmoker,0.012096774,0.454545455,0.454545455,15,33,33,?a
?a  patientDrug  Doxorubicin   ,?a  hasSmokingHabit  CurrentSmoker,0.025,0.516666667,0.525423729,31,60,59,?a
?a  patientDrug  Pembrolizumab   ,?a  hasSmokingHabit  CurrentSmoker,0.027419355,0.507462687,0.507462687,34,67,67,?a
?a  treatmentType  Immunotherapy   ,?a  hasSmokingHabit  CurrentSmoker,0.069354839,0.457446809,0.457446809,86,188,188,?a
?a  patientDrug  Gemcitabine   ,?a  hasSmokingHabit  CurrentSmoker,0.016129032,0.357142857,0.357142857,20,56,56,?a
?a  patientDrug  Vincristine   ,?a  hasSmokingHabit  CurrentSmoker,0.026612903,0.55,0.559322034,33,60,59,?a
?a  treatmentType  Concurrent_Chemoradiotherapy   ,?a  hasSmokingHabit  CurrentSmoker,0.049193548,0.445255474,0.445255474,61,137,137,?a
?a  treatmentType  Intravenous_Chemotherapy   ,?a  hasSmokingHabit  CurrentSmoker,0.162096774,0.406882591,0.407707911,201,494,493,?a
?a  patientDrug  Docetaxel   ,?a  hasSmokingHabit  CurrentSmoker,0.028225806,0.35,0.35,35,100,100,?a
?a  hasRelapse_Progression  Relapse   ,?a  hasSmokingHabit  CurrentSmoker,0.021774194,0.36,0.36,27,75,75,?a
?a  patientDrug  Vp-16   ,?a  hasSmokingHabit  CurrentSmoker,0.094354839,0.55450237,0.559808612,117,211,209,?a
?a  patientDrug  Pemetrexed   ,?a  hasSmokingHabit  CurrentSmoker,0.073387097,0.359683794,0.359683794,91,253,253,?a
?a  patientDrug  Vinorelbine   ,?a  hasSmokingHabit  CurrentSmoker,0.111290323,0.411940299,0.411940299,138,335,335,?a
?a  patientDrug  Paclitaxel   ,?a  hasSmokingHabit  CurrentSmoker,0.091935484,0.390410959,0.390410959,114,292,292,?a
?a  hasBiomarker  PDL1_Negative   ,?a  hasSmokingHabit  CurrentSmoker,0.029032258,0.356435644,0.356435644,36,101,101,?a
?a  hasBiomarker  BRAF_Negative   ,?a  hasSmokingHabit  CurrentSmoker,0.044354839,0.458333333,0.458333333,55,120,120,?a
?a  hasBiomarker  RET_Negative   ,?a  hasSmokingHabit  CurrentSmoker,0.020967742,0.5,0.5,26,52,52,?a
